lua,benchmark,input,duration,emissions,energy_consumed
Lua 5.4.4,Spectralnorm,4000,26.325093746185303,2.2546778820280983e-05,9.610527832007409e-05
Lua 5.4.4,Spectralnorm,4000,26.019299268722534,2.2317808008181075e-05,9.512929395443862e-05
Lua 5.4.4,Spectralnorm,4000,26.236076831817627,2.24626954017535e-05,9.574687411501673e-05
Lua 5.4.4,Spectralnorm,4000,26.04688310623169,2.2307138552507607e-05,9.508381557301679e-05
Lua 5.4.4,Spectralnorm,4000,26.203938007354736,3.430744502640992e-05,0.00014623492690441344
Lua 5.4.4,Spectralnorm,4000,26.499375104904175,2.2729762236537176e-05,9.688524215825398e-05
Lua 5.4.4,Spectralnorm,4000,26.260281085968018,2.270306056244414e-05,9.677142670635383e-05
Lua 5.4.5,BinaryTrees,16,8.223474025726318,1.01337602395384e-06,4.3194988340139385e-06
Lua 5.4.5,BinaryTrees,16,8.221955060958862,1.024940780385381e-06,4.368793420367771e-06
Lua 5.4.5,BinaryTrees,16,8.222405195236206,1.0111760476653562e-06,4.310121470835473e-06
Lua 5.4.5,BinaryTrees,16,8.178797960281372,9.97878626840321e-07,4.253441430661414e-06
Lua 5.4.5,BinaryTrees,16,8.186673879623413,9.9133300802006e-07,4.225540836811065e-06
Lua 5.4.5,BinaryTrees,16,8.19457221031189,1.0300896694121387e-06,4.390740476171176e-06
Lua 5.4.5,BinaryTrees,16,8.226755142211914,1.016771488261064e-06,4.333971945444744e-06
Lua 5.4.5,BinaryTrees,16,8.175269842147827,9.869710095757963e-07,4.206947889328003e-06
Lua 5.4.5,BinaryTrees,16,8.140597820281982,9.952190129847456e-07,4.2421048698226615e-06
Lua 5.4.5,BinaryTrees,16,8.937145948410034,2.377303585864082e-06,1.0133217901852397e-05
Lua 5.4.5,Fannkuch,11,33.19823384284973,1.4763538339817307e-05,6.292934225535392e-05
Lua 5.4.5,Fannkuch,11,33.21127009391785,1.4708996881881106e-05,6.269686017723879e-05
Lua 5.4.5,Fannkuch,11,33.13288688659668,1.4736141488927234e-05,6.281256362365352e-05
Lua 5.4.5,Fannkuch,11,33.09998369216919,1.6834306161859687e-05,7.175595644534296e-05
Lua 5.4.5,Fannkuch,11,33.35623288154602,1.5671544073372692e-05,6.679970193888745e-05
Lua 5.4.5,Fannkuch,11,33.24827313423157,1.493433346346054e-05,6.36573536943396e-05
Lua 5.4.5,Fannkuch,11,33.08804512023926,1.4736810152666152e-05,6.281541379197439e-05
Lua 5.4.5,Fannkuch,11,33.17175793647766,1.4696764379562753e-05,6.264471933489377e-05
Lua 5.4.5,Fannkuch,11,33.45574617385864,1.911065757668419e-05,8.145886735868455e-05
Lua 5.4.5,Fannkuch,11,33.08480215072632,1.4709378524616844e-05,6.26984869231979e-05
Lua 5.4.5,Fasta,2500000,9.891563653945923,1.8921272370701922e-06,8.065161599583095e-06
Lua 5.4.5,Fasta,2500000,9.936115980148315,1.9110913330787034e-06,8.145995750639174e-06
Lua 5.4.5,Fasta,2500000,9.930950164794922,1.9034833964585728e-06,8.11356704443031e-06
Lua 5.4.5,Fasta,2500000,9.934370040893555,1.9541459559808942e-06,8.329515381091171e-06
Lua 5.4.5,Fasta,2500000,9.936095952987671,1.9084108405232497e-06,8.134570194681485e-06
Lua 5.4.5,Fasta,2500000,9.937442064285278,1.8989636214282287e-06,8.094301576813063e-06
Lua 5.4.5,Fasta,2500000,9.941374063491821,1.915453265818938e-06,8.164588418059879e-06
